ranking,score,movie_name,people_num
1,9.6,肖申克的救赎,7
2,9.5,霸王别姬,3
3,9.4,这个杀手不太冷,9
4,9.4,阿甘正传,0
5,9.5,美丽人生,4
6,9.2,千与千寻,4
7,9.2,泰坦尼克号,8
8,9.4,辛德勒的名单,1
9,9.3,盗梦空间,8
10,9.3,机器人总动员,8
11,9.2,海上钢琴师,8
12,9.2,三傻大闹宝莱坞,8
13,9.2,忠犬八公的故事,5
14,9.2,放牛班的春天,3
15,9.2,大话西游之大圣娶亲,6
16,9.1,楚门的世界,4
17,9.2,教父,7
18,9.1,龙猫,6
19,9.2,熔炉,7
20,9.2,乱世佳人,8
21,9.2,星际穿越,3
22,9.1,触不可及,6
23,9.0,无间道,3
24,8.9,当幸福来敲门,3
25,9.1,天堂电影院,6
ranking,score,movie_name,people_num
1,9.6,肖申克的救赎,7
2,9.5,霸王别姬,3
3,9.4,这个杀手不太冷,9
4,9.4,阿甘正传,0
5,9.5,美丽人生,4
6,9.2,千与千寻,4
7,9.2,泰坦尼克号,8
8,9.4,辛德勒的名单,1
9,9.3,盗梦空间,8
10,9.3,机器人总动员,8
11,9.2,海上钢琴师,8
12,9.2,三傻大闹宝莱坞,8
13,9.2,忠犬八公的故事,5
14,9.2,放牛班的春天,3
15,9.2,大话西游之大圣娶亲,6
16,9.1,楚门的世界,4
17,9.2,教父,7
18,9.1,龙猫,6
19,9.2,熔炉,7
20,9.2,乱世佳人,8
21,9.2,星际穿越,3
22,9.1,触不可及,6
23,9.0,无间道,3
24,8.9,当幸福来敲门,3
25,9.1,天堂电影院,6
26,8.9,怦然心动,1
27,9.4,十二怒汉,8
28,9.0,搏击俱乐部,1
29,9.0,少年派的奇幻漂流,3
30,9.2,鬼子来了,0
31,9.1,指环王3：王者无敌,5
32,9.0,蝙蝠侠：黑暗骑士,6
33,9.1,活着,6
34,9.0,天空之城,5
35,8.9,罗马假日,6
36,8.9,大话西游之月光宝盒,7
37,8.9,飞屋环游记,9
38,9.2,疯狂动物城,6
39,9.1,窃听风暴,0
40,9.1,两杆大烟枪,4
41,9.0,飞越疯人院,5
42,9.6,控方证人,0
43,8.9,闻香识女人,0
44,8.9,哈尔的移动城堡,4
45,9.3,海豚湾,7
46,8.8,V字仇杀队,6
47,9.1,辩护人,3
48,8.9,死亡诗社,5
49,9.1,教父2,2
50,8.9,美丽心灵,2
51,9.0,指环王2：双塔奇兵,9
52,8.9,指环王1：魔戒再现,5
53,8.8,情书,9
54,9.1,饮食男女,8
55,9.1,美国往事,5
56,8.9,狮子王,6
57,9.0,钢琴家,6
58,8.7,天使爱美丽,7
59,9.1,摔跤吧！爸爸,5
60,8.7,七宗罪,6
61,8.9,被嫌弃的松子的一生,5
62,9.1,素媛,7
63,9.2,小鞋子,9
64,8.8,致命魔术,9
65,8.8,勇敢的心,7
66,8.9,音乐之声,6
67,8.7,剪刀手爱德华,5
68,8.7,本杰明·巴顿奇事,5
69,8.8,看不见的客人,4
70,8.8,低俗小说,3
71,8.7,西西里的美丽传说,8
72,8.9,拯救大兵瑞恩,6
73,8.8,黑客帝国,7
74,8.7,沉默的羔羊,4
75,8.8,入殓师,2
76,8.7,蝴蝶效应,8
77,8.7,让子弹飞,6
78,8.9,玛丽和马克思,6
79,8.8,春光乍泄,9
80,9.2,大闹天宫,4
81,8.8,心灵捕手,9
82,8.8,阳光灿烂的日子,9
83,8.8,幽灵公主,2
84,8.8,第六感,2
85,8.9,末代皇帝,5
86,8.7,重庆森林,6
87,8.6,禁闭岛,3
88,8.7,大鱼,5
89,9.0,狩猎,2
90,8.8,布达佩斯大饭店,2
91,8.7,射雕英雄传之东成西就,3
92,8.7,哈利·波特与魔法石,1
93,8.6,致命ID,4
94,8.8,甜蜜蜜,7
95,8.9,一一,2
96,8.6,断背山,2
97,8.8,阳光姐妹淘,7
98,8.7,告白,3
99,8.7,猫鼠游戏,9
100,8.9,上帝之城,4
101,8.6,加勒比海盗,5
102,9.2,摩登时代,1
103,8.9,穿条纹睡衣的男孩,4
104,8.6,阿凡达,4
105,8.7,爱在黎明破晓前,6
106,8.7,消失的爱人,9
107,8.8,风之谷,2
108,8.7,爱在日落黄昏时,7
109,8.8,侧耳倾听,0
110,8.6,倩女幽魂,0
111,8.8,超脱,1
112,8.9,红辣椒,9
113,8.7,恐怖直播,9
114,8.7,萤火虫之墓,4
115,8.7,驯龙高手,8
116,8.7,菊次郎的夏天,0
117,8.6,幸福终点站,6
118,8.6,岁月神偷,1
119,8.7,借东西的小人阿莉埃蒂,5
120,8.9,小森林 夏秋篇,8
121,8.5,喜剧之王,7
122,8.5,神偷奶爸,1
123,9.2,七武士,6
124,8.6,杀人回忆,4
125,9.0,海洋,5
126,8.5,真爱至上,5
127,8.7,电锯惊魂,7
128,8.5,贫民窟的百万富翁,1
129,8.7,谍影重重3,0
130,8.8,喜宴,0
131,8.6,雨人,6
132,8.5,记忆碎片,4
133,8.6,东邪西毒,0
134,8.6,怪兽电力公司,1
135,8.7,疯狂原始人,3
136,8.5,黑天鹅,0
137,8.7,燃情岁月,8
138,8.7,英雄本色,9
139,8.9,虎口脱险,0
140,8.8,卢旺达饭店,8
141,8.5,恋恋笔记本,7
142,8.4,傲慢与偏见,8
143,8.7,7号房的礼物,2
144,8.6,海边的曼彻斯特,7
145,8.6,哈利·波特与死亡圣器(下),2
146,8.8,魂断蓝桥,5
147,8.5,猜火车,6
148,8.8,教父3,6
149,8.7,萤火之森,6
150,9.0,完美的世界,8
151,8.6,穿越时空的少女,6
152,8.7,纵横四海,5
153,8.9,小森林 冬春篇,2
154,8.8,荒蛮故事,5
155,8.8,玩具总动员3,6
156,9.0,雨中曲,3
157,8.5,花样年华,4
158,8.8,二十二,8
159,8.8,我是山姆,5
160,8.4,唐伯虎点秋香,7
161,8.6,超能陆战队,3
162,8.6,时空恋旅人,2
163,8.6,人工智能,2
164,8.6,蝙蝠侠：黑暗骑士崛起,0
165,8.7,浪潮,6
166,8.4,冰川时代,7
167,8.4,香水,4
168,8.6,心迷宫,2
169,8.5,朗读者,2
170,8.7,罗生门,5
171,8.9,追随,3
172,8.7,一次别离,0
173,8.6,撞车,2
174,8.6,爆裂鼓手,7
175,8.8,未麻的部屋,0
176,8.7,可可西里,4
177,8.5,战争之王,1
178,8.8,地球上的星星,4
179,8.3,恐怖游轮,4
180,8.7,梦之安魂曲,9
181,8.7,达拉斯买家俱乐部,9
182,8.5,被解救的姜戈,4
183,8.5,阿飞正传,6
184,8.7,牯岭街少年杀人事件,6
185,8.7,血战钢锯岭,9
186,8.5,谍影重重,5
187,8.5,谍影重重2,0
188,8.5,魔女宅急便,9
189,8.7,碧海蓝天,7
190,8.8,请以你的名字呼唤我,4
191,8.9,惊魂记,3
192,9.0,忠犬八公物语,0
193,8.5,再次出发之纽约遇见你,0
194,8.3,秒速5厘米,4
195,8.4,青蛇,1
196,8.7,头脑特工队,0
197,8.8,房间,8
198,8.9,哪吒闹海,7
199,8.6,海盗电台,9
200,9.2,东京物语,2
201,8.7,末路狂花,1
202,8.7,绿里奇迹,0
203,8.6,终结者2：审判日,5
204,8.3,源代码,1
205,8.5,勇闯夺命岛,3
206,8.5,这个男人来自地球,2
207,8.5,新龙门客栈,8
208,8.5,模仿游戏,0
209,8.5,黑客帝国3：矩阵革命,8
210,8.6,卡萨布兰卡,3
211,8.6,荒野生存,8
212,8.4,变脸,5
213,9.2,城市之光,2
214,9.1,迁徙的鸟,7
215,8.7,一个叫欧维的男人决定去死,6
216,8.5,E.T. 外星人,3
217,8.4,发条橙,0
218,8.4,美国丽人,2
219,8.4,无耻混蛋,2
220,9.1,黄金三镖客,4
221,8.3,初恋这件小事,0
222,8.4,英国病人,2
223,8.6,燕尾蝶,8
224,8.4,你的名字。,3
225,8.8,爱在午夜降临前,0
226,8.6,非常嫌疑犯,0
227,8.6,叫我第一名,4
228,8.3,穆赫兰道,5
229,8.9,勇士,9
230,9.0,无人知晓,2
231,8.3,疯狂的石头,1
232,8.6,无敌破坏王,0
233,8.3,国王的演讲,8
234,8.6,上帝也疯狂,8
235,8.5,血钻,4
236,8.8,步履不停,7
237,8.6,枪火,1
238,8.3,蓝色大门,5
239,8.4,彗星来的那一夜,4
240,8.6,大卫·戈尔的一生,2
241,9.0,爱·回家,7
242,8.5,遗愿清单,7
243,9.0,我爱你,7
244,8.7,千钧一发,2
245,8.5,荒岛余生,0
246,8.5,麦兜故事,1
247,8.4,暖暖内含光,3
248,8.5,黑鹰坠落,3
249,8.6,小萝莉的猴神大叔,4
250,8.3,曾经,7
