ranking,score,movie_name,people_num
61,8.4,变脸,219135
62,8.4,速度与激情5,217041
63,8.4,黑客帝国2：重装上阵,146749
64,8.4,罪恶之城,137092
65,8.4,角斗士,127021
66,8.4,暗战,118187
67,8.4,神探,110903
68,8.4,黄海,85225
69,8.4,王牌对王牌,66724
70,8.4,盗火线,66664
71,8.4,阿基拉,21017
72,8.4,精武门,15662
73,8.4,杀死比尔整个血腥事件,11044
74,8.4,侠女,8223
75,8.4,最长的一天,7332
76,8.4,红线,4089
77,8.4,飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,3614
78,8.4,福禄双霸天,1831
79,8.4,忍者小英雄,1069
80,8.3,釜山行,384014
81,8.3,速度与激情7,268983
82,8.3,金刚狼3：殊死一战,246254
83,8.3,无间道2,166769
84,8.3,热血警探,90639
85,8.3,笑傲江湖2：东方不败,88789
86,8.3,星球大战,66124
87,8.3,太极旗飘扬,54305
88,8.3,天国王朝,48862
89,8.3,星球大战3：绝地归来,47803
90,8.3,喋血双雄,38028
91,8.3,一个字头的诞生,31922
92,8.3,荒野大镖客,21310
93,8.3,正义联盟：闪点悖论,11407
94,8.3,日落黄沙,4909
95,8.3,战国英豪,4129
96,8.3,菜鸟总动员：毕业,2316
97,8.3,飞出个未来大电影2：万背之兽,2241
98,8.3,孟菲斯美女号,2168
99,8.3,摔角狂热 30,1026
100,8.2,西游记之大圣归来,386447
101,8.2,碟中谍4,262533
102,8.2,X战警：逆转未来,261382
103,8.2,第九区,232424
104,8.2,霍比特人3：五军之战,200876
105,8.2,霍比特人2：史矛革之战,200131
106,8.2,蝙蝠侠：侠影之谜,145031
107,8.2,飓风营救,133096
108,8.2,买凶拍人,95079
109,8.2,英雄本色2,58684
110,8.2,星球大战前传3：西斯的复仇,57265
111,8.2,精武英雄,54530
112,8.2,星球大战2：帝国反击战,51519
113,8.2,最终幻想7：圣子降临,41087
114,8.2,西北偏北,40143
115,8.2,雌雄大盗,24218
116,8.2,猛龙过江,18624
117,8.2,追捕,17224
118,8.2,卡桑德拉大桥,15005
119,8.2,蝙蝠侠：红影迷踪,6869
120,8.2,白色严冬,6855
121,8.2,奏鸣曲,6734
122,8.2,老人Z,5420
123,8.2,关山飞渡,4682
124,8.2,胜利之光,4656
125,8.2,机动警察剧场版1,3839
126,8.2,天与地,2837
127,8.2,迎春阁之风波,2609
128,8.2,战略大作战,2380
129,8.2,红河,1551
130,8.2,疤面人,1358
131,8.1,变形金刚,250266
132,8.1,霍比特人1：意外之旅,231095
133,8.1,银河护卫队2,218518
134,8.1,加勒比海盗2：聚魂棺,205588
135,8.1,杀死比尔,201857
136,8.1,X战警：第一战,191141
137,8.1,国产凌凌漆,167784
138,8.1,铁甲钢拳,163982
139,8.1,罗拉快跑,156198
140,8.1,师父,152944
141,8.1,孤胆特工,121664
